level,name,mean,std,min,max,num_trials,hardware,device,source_file
level1,52_Argmin_over_a_dimension.py,0.0381,0.051,0.0166,0.319,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,53_Min_reduction_over_a_dimension.py,0.0379,0.0484,0.0173,0.24,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,54_conv_standard_3D__square_input__square_kernel.py,2.81,0.151,2.53,3.2,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,55_conv_standard_2D__asymmetric_input__square_kernel.py,0.247,0.0975,0.197,0.607,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,56_conv_standard_2D__asymmetric_input__asymmetric_kernel.py,0.258,0.112,0.193,0.631,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,57_conv_transposed_2D__square_input__square_kernel.py,0.28,0.0967,0.228,0.671,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py,8.98,0.331,8.31,9.73,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,59_conv_standard_3D__asymmetric_input__square_kernel.py,7.68,0.223,6.97,8.25,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,60_conv_standard_3D__square_input__asymmetric_kernel.py,3.98,0.184,3.64,4.41,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,61_conv_transposed_3D__square_input__square_kernel.py,0.419,0.0965,0.371,0.756,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,62_conv_standard_2D__square_input__asymmetric_kernel.py,0.435,0.125,0.369,0.814,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,63_conv_standard_2D__square_input__square_kernel.py,0.45,0.142,0.381,0.966,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,64_conv_transposed_1D.py,0.0649,0.0782,0.0122,0.505,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,65_conv_transposed_2D__square_input__asymmetric_kernel.py,0.361,0.119,0.294,0.769,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,66_conv_standard_3D__asymmetric_input__asymmetric_kernel.py,17.4,0.292,16.8,18.3,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,67_conv_standard_1D.py,0.0417,0.0445,0.00822,0.269,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,68_conv_transposed_3D__square_input__asymmetric_kernel.py,36.9,0.911,35.8,40.6,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,69_conv_transposed_2D__asymmetric_input__asymmetric_kernel.py,0.0984,0.0918,0.0231,0.579,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,70_conv_transposed_3D__asymmetric_input__square_kernel.py,2.0,0.368,1.7,2.63,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,71_conv_transposed_2D__asymmetric_input__square_kernel.py,0.542,0.118,0.489,1.04,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,72_conv_transposed_3D_asymmetric_input_asymmetric_kernel___strided_padded_grouped_.py,32.4,0.409,31.1,33.1,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,73_conv_transposed_3D_asymmetric_input_square_kernel__strided_padded__grouped.py,5.36,0.155,4.91,5.73,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,74_conv_transposed_1D_dilated.py,0.0901,0.0566,0.0265,0.262,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,75_conv_transposed_2D_asymmetric_input_asymmetric_kernel_strided__grouped____padded____dilated__.py,8.32,0.286,7.69,8.96,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,76_conv_standard_1D_dilated_strided__.py,0.0446,0.0564,0.00643,0.416,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,77_conv_transposed_3D_square_input_square_kernel___padded____dilated____strided__.py,6.69,0.354,6.16,7.48,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,78_conv_transposed_2D_asymmetric_input_asymmetric_kernel___padded__.py,0.649,0.123,0.563,1.13,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,79_conv_transposed_1D_asymmetric_input_square_kernel___padded____strided____dilated__.py,0.0604,0.0719,0.0143,0.394,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,80_conv_standard_2D_square_input_asymmetric_kernel___dilated____padded__.py,0.433,0.111,0.38,0.814,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,81_conv_transposed_2D_asymmetric_input_square_kernel___dilated____padded____strided__.py,2.27,0.371,1.91,3.07,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,82_conv_depthwise_2D_square_input_square_kernel.py,0.0579,0.0687,0.0261,0.395,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,83_conv_depthwise_2D_square_input_asymmetric_kernel.py,0.0675,0.0673,0.0379,0.437,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,84_conv_depthwise_2D_asymmetric_input_square_kernel.py,0.0455,0.0656,0.0162,0.366,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,85_conv_depthwise_2D_asymmetric_input_asymmetric_kernel.py,0.0501,0.0566,0.0256,0.378,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,86_conv_depthwise_separable_2D.py,0.364,0.0847,0.322,0.726,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,87_conv_pointwise_2D.py,0.243,0.105,0.193,0.61,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,88_MinGPTNewGelu.py,0.133,0.0921,0.0707,0.456,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,89_cumsum.py,0.0452,0.0657,0.0193,0.319,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,90_cumprod.py,0.0379,0.0451,0.0191,0.316,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,91_cumsum_reverse.py,0.0682,0.0655,0.0291,0.334,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,92_cumsum_exclusive.py,0.0727,0.0608,0.0266,0.382,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,93_masked_cumsum.py,0.053,0.0661,0.0265,0.556,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,94_MSELoss.py,0.0614,0.0553,0.0146,0.326,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,95_CrossEntropyLoss.py,0.0677,0.0377,0.0488,0.291,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,96_HuberLoss.py,0.0609,0.0586,0.0107,0.294,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,97_CosineSimilarityLoss.py,0.181,0.104,0.0578,0.475,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,98_KLDivLoss.py,0.0945,0.0764,0.0247,0.435,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,99_TripletMarginLoss.py,0.14,0.0896,0.0431,0.351,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,100_HingeLoss.py,0.0778,0.0747,0.0122,0.304,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,1_Conv2D_ReLU_BiasAdd.py,0.103,0.0923,0.0388,0.525,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,2_ConvTranspose2d_BiasAdd_Clamp_Scaling_Clamp_Divide.py,0.305,0.112,0.243,0.663,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,3_ConvTranspose3d_Sum_LayerNorm_AvgPool_GELU.py,71.9,0.246,71.4,73.0,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,4_Conv2d_Mish_Mish.py,0.069,0.0229,0.0436,0.217,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,5_ConvTranspose2d_Subtract_Tanh.py,0.131,0.0499,0.102,0.609,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,6_Conv3d_Softmax_MaxPool_MaxPool.py,0.833,0.00643,0.812,0.851,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,7_Conv3d_ReLU_LeakyReLU_GELU_Sigmoid_BiasAdd.py,1.22,0.018,1.21,1.39,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,8_Conv3d_Divide_Max_GlobalAvgPool_BiasAdd_Sum.py,0.808,0.0101,0.795,0.869,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,9_Matmul_Subtract_Multiply_ReLU.py,0.179,0.139,0.0622,0.484,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,10_ConvTranspose2d_MaxPool_Hardtanh_Mean_Tanh.py,0.192,0.00853,0.177,0.227,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,11_ConvTranspose2d_BatchNorm_Tanh_MaxPool_GroupNorm.py,1.29,0.0263,1.27,1.54,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,12_Gemm_Multiply_LeakyReLU.py,0.0699,0.016,0.0487,0.125,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,13_ConvTranspose3d_Mean_Add_Softmax_Tanh_Scaling.py,3.34,0.0527,3.25,3.64,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,14_Gemm_Divide_Sum_Scaling.py,0.136,0.0213,0.102,0.206,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,15_ConvTranspose3d_BatchNorm_Subtract.py,4.35,0.0706,4.3,4.68,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,16_ConvTranspose2d_Mish_Add_Hardtanh_Scaling.py,0.219,0.00803,0.206,0.251,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,17_Conv2d_InstanceNorm_Divide.py,0.1,0.0173,0.0804,0.182,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp.py,0.264,0.0251,0.212,0.347,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,19_ConvTranspose2d_GELU_GroupNorm.py,1.13,0.0359,1.1,1.41,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,20_ConvTranspose3d_Sum_ResidualAdd_Multiply_ResidualAdd.py,10.3,0.0949,10.3,10.9,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,21_Conv2d_Add_Scale_Sigmoid_GroupNorm.py,0.123,0.0212,0.102,0.245,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,22_Matmul_Scale_ResidualAdd_Clamp_LogSumExp_Mish.py,0.189,0.0227,0.155,0.265,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,23_Conv3d_GroupNorm_Mean.py,0.712,0.039,0.688,1.07,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,24_Conv3d_Min_Softmax.py,0.601,0.00684,0.575,0.628,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,25_Conv2d_Min_Tanh_Tanh.py,0.0782,0.0151,0.0475,0.135,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,26_ConvTranspose3d_Add_HardSwish.py,17.0,0.13,16.8,17.4,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,27_Conv3d_HardSwish_ReLU_Softmax_Mean.py,1.05,0.0437,1.02,1.34,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,28_BMM_InstanceNorm_Sum_ResidualAdd_Multiply.py,0.13,0.0222,0.105,0.239,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,29_Matmul_Mish_Mish.py,0.0722,0.019,0.0427,0.134,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,30_Gemm_GroupNorm_Hardtanh.py,0.0948,0.0266,0.073,0.293,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,31_Conv2d_Min_Add_Multiply.py,0.0923,0.0266,0.0664,0.274,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,32_Conv2d_Scaling_Min.py,0.076,0.0293,0.0525,0.328,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,33_Gemm_Scale_BatchNorm.py,0.108,0.0169,0.0843,0.174,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,34_ConvTranspose3d_LayerNorm_GELU_Scaling.py,122.0,0.261,121.0,122.0,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,35_Conv2d_Subtract_HardSwish_MaxPool_Mish.py,0.0988,0.0163,0.0772,0.174,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,36_ConvTranspose2d_Min_Sum_GELU_Add.py,0.217,0.0179,0.187,0.383,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,37_Matmul_Swish_Sum_GroupNorm.py,0.114,0.0236,0.0876,0.279,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,38_ConvTranspose3d_AvgPool_Clamp_Softmax_Multiply.py,2.95,0.0836,2.68,3.19,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,39_Gemm_Scale_BatchNorm.py,0.133,0.0278,0.0979,0.24,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,40_Matmul_Scaling_ResidualAdd.py,0.154,0.0214,0.0972,0.252,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,41_Gemm_BatchNorm_GELU_GroupNorm_Mean_ReLU.py,0.219,0.0276,0.16,0.309,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,42_ConvTranspose2d_GlobalAvgPool_BiasAdd_LogSumExp_Sum_Multiply.py,0.193,0.0201,0.163,0.293,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,43_Conv3d_Max_LogSumExp_ReLU.py,0.866,0.0102,0.853,0.914,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,44_ConvTranspose2d_Multiply_GlobalAvgPool_GlobalAvgPool_Mean.py,0.234,0.00664,0.207,0.274,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,45_Gemm_Sigmoid_Sum_LogSumExp.py,0.166,0.0196,0.129,0.23,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,46_Conv2d_Subtract_Tanh_Subtract_AvgPool.py,0.0926,0.0159,0.0592,0.146,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,47_Conv3d_Mish_Tanh.py,0.122,0.039,0.0956,0.46,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,48_Conv3d_Scaling_Tanh_Multiply_Sigmoid.py,1.09,0.0381,1.07,1.37,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,49_ConvTranspose3d_Softmax_Sigmoid.py,7.48,0.0899,7.42,7.81,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,50_ConvTranspose3d_Scaling_AvgPool_BiasAdd_Scaling.py,13.7,0.287,13.4,14.3,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,51_Gemm_Subtract_GlobalAvgPool_LogSumExp_GELU_ResidualAdd.py,0.203,0.0175,0.179,0.276,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,52_Conv2d_Activation_BatchNorm.py,0.182,0.0373,0.131,0.325,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,53_Gemm_Scaling_Hardtanh_GELU.py,0.0865,0.0182,0.0653,0.175,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,54_Conv2d_Multiply_LeakyReLU_GELU.py,0.0818,0.0163,0.0561,0.142,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,55_Matmul_MaxPool_Sum_Scale.py,0.101,0.016,0.0729,0.153,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,56_Matmul_Sigmoid_Sum.py,0.073,0.0143,0.0529,0.133,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,57_Conv2d_ReLU_HardSwish.py,0.121,0.0163,0.0884,0.213,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,58_ConvTranspose3d_LogSumExp_HardSwish_Subtract_Clamp_Max.py,18.8,0.366,18.4,19.8,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,59_Matmul_Swish_Scaling.py,0.0707,0.0159,0.0478,0.129,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,60_ConvTranspose3d_Swish_GroupNorm_HardSwish.py,18.2,0.362,17.8,19.3,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,61_ConvTranspose3d_ReLU_GroupNorm.py,0.356,0.0188,0.339,0.506,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,62_Matmul_GroupNorm_LeakyReLU_Sum.py,0.116,0.0209,0.0887,0.182,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,63_Gemm_ReLU_Divide.py,0.0635,0.0177,0.0452,0.135,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,64_Gemm_LogSumExp_LeakyReLU_LeakyReLU_GELU_GELU.py,0.184,0.0281,0.15,0.354,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,65_Conv2d_AvgPool_Sigmoid_Sum.py,0.0931,0.025,0.0672,0.228,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,66_Matmul_Dropout_Mean_Softmax.py,0.0969,0.0199,0.0247,0.166,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,67_Conv2d_GELU_GlobalAvgPool.py,0.0825,0.016,0.0621,0.134,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,68_Matmul_Min_Subtract.py,0.0754,0.0173,0.0455,0.144,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,69_Conv2d_HardSwish_ReLU.py,0.0681,0.0157,0.0466,0.127,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,70_Gemm_Sigmoid_Scaling_ResidualAdd.py,0.0767,0.017,0.0519,0.136,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,71_Conv2d_Divide_LeakyReLU.py,0.0699,0.0135,0.0489,0.114,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,72_ConvTranspose3d_BatchNorm_AvgPool_AvgPool.py,37.4,0.852,36.8,40.6,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,73_Conv2d_BatchNorm_Scaling.py,0.126,0.0116,0.107,0.175,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,74_ConvTranspose3d_LeakyReLU_Multiply_LeakyReLU_Max.py,4.21,0.0733,4.14,4.55,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level2,75_Gemm_GroupNorm_Min_BiasAdd.py,0.153,0.0215,0.102,0.234,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
